school,location,url,type
Southeastern University,Lakeland,https://en.wikipedia.org/wiki/Southeastern_University_(Florida),Religiously affiliated institutions
Trinity Baptist College,Jacksonville,https://en.wikipedia.org/wiki/Trinity_Baptist_College,Religiously affiliated institutions
Trinity College,New Port Richey,https://en.wikipedia.org/wiki/Trinity_College_(Florida),Religiously affiliated institutions
Warner University,Lake Wales,https://en.wikipedia.org/wiki/Warner_University,Religiously affiliated institutions
Yeshiva V'Kollel Beis Moshe Chaim,Miami Beach,https://en.wikipedia.org/wiki/Yeshiva_V%27Kollel_Beis_Moshe_Chaim,Religiously affiliated institutions
Acupuncture and Massage College,Miami,https://en.wikipedia.org/w/index.php?title=Acupuncture_and_Massage_College&action=edit&redlink=1,Trade/technical institutions
AdventHealth University,Orlando,https://en.wikipedia.org/wiki/AdventHealth_University,Trade/technical institutions
Aerosim Flight Academy,Sanford,https://en.wikipedia.org/wiki/Aerosim_Flight_Academy,Trade/technical institutions
American College for Medical Careers,Orlando,https://en.wikipedia.org/w/index.php?title=American_College_for_Medical_Careers&action=edit&redlink=1,Trade/technical institutions
Atlantic Institute of Oriental Medicine,Fort Lauderdale,https://en.wikipedia.org/w/index.php?title=Atlantic_Institute_of_Oriental_Medicine&action=edit&redlink=1,Trade/technical institutions
City College,Fort Lauderdale,https://en.wikipedia.org/wiki/City_College_(Florida),Trade/technical institutions
College of Business and Technology,Miami,https://en.wikipedia.org/wiki/College_of_Business_and_Technology,Trade/technical institutions
Digital Media Arts College,Boca Raton,https://en.wikipedia.org/wiki/Digital_Media_Arts_College,Trade/technical institutions
Dragon Rises College of Oriental Medicine,Gainesville,https://en.wikipedia.org/w/index.php?title=Dragon_Rises_College_of_Oriental_Medicine&action=edit&redlink=1,Trade/technical institutions
East West College of Natural Medicine,Sarasota,https://en.wikipedia.org/wiki/East_West_College_of_Natural_Medicine,Trade/technical institutions
Everest University,Pompano Beach,https://en.wikipedia.org/wiki/Everest_University,Trade/technical institutions
Everglades University,Boca Raton,https://en.wikipedia.org/wiki/Everglades_University,Trade/technical institutions
Florida Career College,Miami,https://en.wikipedia.org/wiki/Florida_Career_College,Trade/technical institutions
Florida College of Integrative Medicine,Orlando,https://en.wikipedia.org/w/index.php?title=Florida_College_of_Integrative_Medicine&action=edit&redlink=1,Trade/technical institutions
Florida Technical College,Cutler Bay,https://en.wikipedia.org/wiki/Florida_Technical_College,Trade/technical institutions
Full Sail University,Winter Park,https://en.wikipedia.org/wiki/Full_Sail_University,Trade/technical institutions
Jersey College,Tampa,https://en.wikipedia.org/wiki/Jersey_College,Trade/technical institutions
Jose Maria Vargas University,Pembroke Pines,https://en.wikipedia.org/w/index.php?title=Jose_Maria_Vargas_University&action=edit&redlink=1,Trade/technical institutions
Miami International University of Art & Design,Miami,https://en.wikipedia.org/wiki/Miami_International_University_of_Art_%26_Design,Trade/technical institutions
Orlando Culinary Academy,Orlando,https://en.wikipedia.org/wiki/Orlando_Culinary_Academy,Trade/technical institutions
Remington College,Tampa,https://en.wikipedia.org/wiki/Remington_College,Trade/technical institutions
Ringling College of Art and Design,Sarasota,https://en.wikipedia.org/wiki/Ringling_College_of_Art_and_Design,Trade/technical institutions
Southern Technical College,Orlando,https://en.wikipedia.org/wiki/Southern_Technical_College,Trade/technical institutions
Argosy University,Tampa,https://en.wikipedia.org/wiki/Argosy_University,Other private institutions
Atlantis University,Miami-Dade County,https://en.wikipedia.org/wiki/Atlantis_University,Other private institutions
Beacon College,Leesburg,https://en.wikipedia.org/wiki/Beacon_College,Other private institutions
Carlos Albizu University,Miami,https://en.wikipedia.org/wiki/Carlos_Albizu_University,Other private institutions
Columbia College,Jacksonville,https://en.wikipedia.org/wiki/Columbia_College_(Missouri),Other private institutions
DeVry University,Orlando,https://en.wikipedia.org/wiki/DeVry_University,Other private institutions
Embry–Riddle Aeronautical University,Daytona Beach,https://en.wikipedia.org/wiki/Embry%E2%80%93Riddle_Aeronautical_University,Other private institutions
Flagler College,St. Augustine,https://en.wikipedia.org/wiki/Flagler_College,Other private institutions
Florida Institute of Technology,Melbourne,https://en.wikipedia.org/wiki/Florida_Institute_of_Technology,Other private institutions
Florida National University,Hialeah,https://en.wikipedia.org/wiki/Florida_National_University,Other private institutions
Herzing University,Orlando,https://en.wikipedia.org/wiki/Herzing_University,Other private institutions
Hodges University,Naples,https://en.wikipedia.org/wiki/Hodges_University,Other private institutions
Jacksonville University,Jacksonville,https://en.wikipedia.org/wiki/Jacksonville_University,Other private institutions
Johnson & Wales University,North Miami,https://en.wikipedia.org/wiki/Johnson_%26_Wales_University,Other private institutions
Keiser University,Fort Lauderdale,https://en.wikipedia.org/wiki/Keiser_University,Other private institutions
Lake Erie College of Osteopathic Medicine,Bradenton,https://en.wikipedia.org/wiki/Lake_Erie_College_of_Osteopathic_Medicine,Other private institutions
Lynn University,Boca Raton,https://en.wikipedia.org/wiki/Lynn_University,Other private institutions
Keiser University,West Palm Beach,https://en.wikipedia.org/wiki/Keiser_University,Other private institutions
Millennia Atlantic University,Doral,https://en.wikipedia.org/w/index.php?title=Millennia_Atlantic_University&action=edit&redlink=1,Other private institutions
Miami International University of Art & Design,Miami,https://en.wikipedia.org/wiki/Miami_International_University_of_Art_%26_Design,Other private institutions
Miami Regional College,Miami Springs,https://en.wikipedia.org/wiki/Miami_Regional_College,Other private institutions
National Louis University,Tampa,https://en.wikipedia.org/wiki/National_Louis_University,Other private institutions
National University of Medical Sciences,Naples,https://en.wikipedia.org/w/index.php?title=National_University_of_Medical_Sciences_(United_States)&action=edit&redlink=1,Other private institutions
Nova Southeastern University,Davie,https://en.wikipedia.org/wiki/Nova_Southeastern_University,Other private institutions
Okan International University,Dania Beach,https://en.wikipedia.org/wiki/Okan_International_University,Other private institutions
Rasmussen College,Ocala,https://en.wikipedia.org/wiki/Rasmussen_College,Other private institutions
Rollins College,Winter Park,https://en.wikipedia.org/wiki/Rollins_College,Other private institutions
San Ignacio University,Miami,https://en.wikipedia.org/w/index.php?title=San_Ignacio_University&action=edit&redlink=1,Other private institutions
Schiller International University,Largo,https://en.wikipedia.org/wiki/Schiller_International_University,Other private institutions
Southern Technical College,Orlando,https://en.wikipedia.org/wiki/Southern_Technical_College,Other private institutions
Springfield College,Tampa,https://en.wikipedia.org/wiki/Springfield_College_(Massachusetts),Other private institutions
Stetson University,DeLand,https://en.wikipedia.org/wiki/Stetson_University,Other private institutions
University of Miami,Coral Gables,https://en.wikipedia.org/wiki/University_of_Miami,Other private institutions
University of Phoenix,Orlando,https://en.wikipedia.org/wiki/University_of_Phoenix,Other private institutions
University of Tampa,Tampa,https://en.wikipedia.org/wiki/University_of_Tampa,Other private institutions
Webber International University,Babson Park,https://en.wikipedia.org/wiki/Webber_International_University,Other private institutions
Webster University,Ocala,https://en.wikipedia.org/wiki/Webster_University,Other private institutions
Western Michigan University Cooley Law School,Tampa,https://en.wikipedia.org/wiki/Western_Michigan_University_Cooley_Law_School,Other private institutions
